"Timestamp","Gender( ස්ත්‍රී පුරුෂ භාවය)","Which province are you from?( ඔබ කුමන පළාතෙන්ද?)","Z- score(Z අගය)","Stream(විෂය ධාරාව)","Highest Education Level of a parent or guardian(දෙමාපියන්ගේ හෝ භාරකරුවෙකුගේ ඉහළම අධ්‍යාපන මට්ටම?)","Do you have access to a computer or a laptop?(ඔබට පරිගණකයකට ප්‍රවේශය තිබේද?)","How long have you been using  computer or a laptop?  ?(ඔබ කොපමණ කාලයක් තිස්සේ පරිගණකයක් භාවිතා කරනවාද?)","Have you done O/L Information Technology Subject ?(ඔබ සාමාන්‍ය පෙළ සඳහා තොරතුරු තාක්ෂණය විෂය හදාරා තිබේද?)","If yes, What is the grade that you obtained for O/L Information Technology Subject?(එසේ නම් ඔබ ඒ සඳහා ලබාගත් සාමාර්තය කුමක්ද?)","Have you followed any computer course(ESOFT/BCS/Coursera etc.)(ඔබ යම් ආකාරයක පරිගණක පාඨමාලාවක් හදාරා තිබේද?)","Have you done self- studies to improve your basic computer literacy skills?(ඔබ ඔබගේ මූලික පරිගණක කුසලතා වර්ධනය කර ගැනීමට ස්වයං අධ්‍යනයන් සිදු කරනවාද?)","How would you rate your Basic Computer Literacy on following Softwares?(පහත සඳහන් යෙදවුම් මෘදුකාංග සම්බන්ධයෙන් ඔබගේ මූලික දැනුම් මට්ටම කුමක්ද?) [Microsoft Word]","How would you rate your Basic Computer Literacy on following Softwares?(පහත සඳහන් යෙදවුම් මෘදුකාංග සම්බන්ධයෙන් ඔබගේ මූලික දැනුම් මට්ටම කුමක්ද?) [Microsoft Excel]","How would you rate your Basic Computer Literacy on following Softwares?(පහත සඳහන් යෙදවුම් මෘදුකාංග සම්බන්ධයෙන් ඔබගේ මූලික දැනුම් මට්ටම කුමක්ද?) [Microsoft PowerPoint]"," [How would you rate your Basic Computer Literacy?(ඔබගේ මූලික පරිගණක දැනුම් මට්ටම කුමක්ද?)]","Have you followed any kind of programming course?(ඔබ යම් ආකාරයක පරිගණක භාෂාවක් සම්බන්ධයෙන්  පාඨමාලාවක් හදාරා තිබේද?)","Do you do self- studies to improve your programming skills?(ඔබ ඔබගේ පරිගණක භාෂා භාවිතය පිළිබඳව  කුසලතා වර්ධනය කර ගැනීමට ස්වයං අධ්‍යනයන් සිදු කරනවාද?)","What programming language/s you have followed?(ඔබ හදාරා ඇති පරිගණක භාෂාව/භාෂාවන් මොනවාද?)"," [How would you rate your programming knowledge?(ඔබගේ පරිගණක භාෂා දැනුම් මට්ටම කුමක්ද?)]","What is the grade that you obtained for O/L English Subject?(ඔබ සාමාන්‍ය පෙළ ඉංග්‍රීසි විෂය සඳහා ලබාගත් සාමාර්තය කුමක්ද?)","What is the grade that you obtained for A/L General English Subject?(ඔබ උසස් පෙළ සාමාන්‍ය ඉංග්‍රීසි විෂය සඳහා ලබාගත් සාමාර්තය කුමක්ද?)","Have you done English Literature subject for O/L Examination?(ඔබ සාමාන්‍ය පෙළ සඳහා ඉංග්‍රීසි සාහිත්‍යය විෂය හදාරා තිබේද?)","If yes, What is the grade that you obtained for O/L English Literature Subject?(එසේ නම් ඔබ ඒ සඳහා ලබාගත් සාමාර්තය කුමක්ද?)","Have you followed any English course before entering the university?(විශ්ව විද්‍යාලයට ඇතුළත් වීමට පෙර ඔබ යම් ආකාරයක ඉංග්‍රීසි පාඨමාලාවක් හදාරා තිබේද?)"," [How would you rate the English course(EC course) offered by the university?(ඔබ විශ්ව විද්‍යාලයේදී හාදාරන ඉංග්‍රීසි පාඨමාලාව සම්බන්ධයෙන් ඔබගේ අදහස කුමක්ද?)]","How would you rate the following ? (concern about the English language not about the course content)(පහත සඳහන් ඒවා සම්බන්ධයෙන් ඔබගේ අදහස් දක්වන්න.  මෙහි අවධානය යොමු වන්නේ ඉංග්‍රීසි භාෂාව සම්බන්ධයෙනි. විෂය සම්බන්ධයෙන් නොවේ ) [Understanding level of lectures(දේශනවල තේරුම් මට්ටම)]","How would you rate the following ? (concern about the English language not about the course content)(පහත සඳහන් ඒවා සම්බන්ධයෙන් ඔබගේ අදහස් දක්වන්න.  මෙහි අවධානය යොමු වන්නේ ඉංග්‍රීසි භාෂාව සම්බන්ධයෙනි. විෂය සම්බන්ධයෙන් නොවේ ) [Understanding level of lecture notes, references, etc.(දේශකයන් ලබාදෙන සටහන් හා අතිරේක කියවීම් පිළිබඳ තේරුම් මට්ටම)]","How would you rate the following ? (concern about the English language not about the course content)(පහත සඳහන් ඒවා සම්බන්ධයෙන් ඔබගේ අදහස් දක්වන්න.  මෙහි අවධානය යොමු වන්නේ ඉංග්‍රීසි භාෂාව සම්බන්ධයෙනි. විෂය සම්බන්ධයෙන් නොවේ ) [Understanding level of the problems which were in semester examination papers(විභාග වලදී ලැබුණු ප්‍රශ්න පත්‍ර වල තේරුම් මට්ටම ?)]"," [How would you rate your English literacy?(ඔබගේ ඉංග්‍රීසි භාෂා දැනුම් මට්ටම කුමක්ද?)]","Any other comments or suggestions to improve the computer & English literacy of undergraduates:(උපාධි අපේක්ෂකයින්ගේ පරිගණක සහ ඉංග්‍රීසි දැනුම් මට්ටම වැඩි දියුණු කිරීම සඳහා වෙනත් අදහස් හෝ යෝජනා තිබේද?)"
"2022/12/02 2:00:25 PM GMT+5:30","Female","Western Province","1.7","MB","Higher","Yes","more than 3 years","No","","Yes","Yes","Very good","Very good","Very good","Good","Yes","Yes","None","Weak","A","A","No","","Yes","Good","Very good","Very good","Satisfactory","Good",""
"2022/12/02 2:04:31 PM GMT+5:30","Male","Western Province","1.420","Bio","A/Levels","Yes","more than 3 years","No","","No","Yes","Very good","Good","Good","Good","No","Yes","Python","Good","C","C","No","","Yes","Average","Satisfactory","Fair","Fair","Good",""
"2022/12/02 2:42:46 PM GMT+5:30","Male","Southern Province","1.4462","IS & MF","O/Levels or Below","Yes","Less than one year","Yes","B","Yes","Yes","Good","Good","Good","Average","Yes","Yes","Python","Average","C","W","No","","Yes","Average","Satisfactory","Fair","Satisfactory","Average","Campus අපේක්ශකයින්ට academic පටන් ගන්න කලින් මාස තුනක පමන කාලයක් ඒ හා සම්බන්දව පාටමාලාවක් පැවැත්වීම"
"2022/12/02 2:59:55 PM GMT+5:30","Male","Sabaragamuwa Province","1.4496","P4","O/Levels or Below","Yes","1-3 years","No","","No","Yes","Very good","Good","Good","Average","No","Yes","None","Average","C","W","No","","Yes","Good","Satisfactory","Very good","Satisfactory","Average","campus eka athule English club ekak aramba kara , vinodajanaka games bavitha kara english kathanaya vadidiyunu kireema"
"2022/12/02 7:08:45 PM GMT+5:30","Female","Western Province","1.43","IS & MF","Degree","Yes","more than 3 years","Yes","A","Yes","Yes","Very good","Very good","Good","Very good","Yes","No","Python;Java;JavaScript;Html","Good","A","A","No","","No","Good","Fair","Satisfactory","Fair","Good","."
"2022/12/02 7:12:26 PM GMT+5:30","Female","Western Province","1.57","IS & MF","Diploma","Yes","more than 3 years","Yes","A","No","Yes","Good","Good","Good","Good","No","No","Python;Java","Average","A","A","No","","Yes","Good","Very good","Very good","Very good","Good",""
"2022/12/02 7:14:00 PM GMT+5:30","Male","Western Province","1.5327","IS & MF","Diploma","Yes","more than 3 years","No","","No","Yes","Average","Average","Average","Average","Yes","No","Python","Average","A","B","No","","No","Good","Satisfactory","Satisfactory","Satisfactory","Average","-"
"2022/12/02 7:15:37 PM GMT+5:30","Male","Central Province","0.987","IS & MF","A/Levels","Yes","Less than one year","No","","No","Yes","Average","Average","Average","Average","No","No","None","Average","C","C","No","","No","Average","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/02 7:18:46 PM GMT+5:30","Female","North-Western Province","1.2828","IS & MF","A/Levels","Yes","more than 3 years","Yes","A","Yes","Yes","Very good","Very good","Very good","Average","No","Yes","Python","Average","A","A","Yes","C","No","Good","Satisfactory","Very good","Satisfactory","Good","No suggestions "
"2022/12/02 7:22:59 PM GMT+5:30","Male","Sabaragamuwa Province","0.55","IS & MF","Higher","Yes","more than 3 years","Yes","A","Yes","Yes","Very good","Good","Very good","Very good","Yes","Yes","Java;JavaScript;C","Average","A","B","Yes","B","No","Good","Excellent","Excellent","Excellent","Good","Could have a day annually in the University which is dedicated to Computer & English literacy .That will promote the importance of Computer and English Literacy."
"2022/12/02 7:56:14 PM GMT+5:30","Female","Central Province","1.1645","IS & MF","Degree","Yes","more than 3 years","Yes","A","Yes","Yes","Average","Average","Average","Weak","No","Yes","Python","Average","A","A","No","","Yes","Average","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/02 8:05:24 PM GMT+5:30","Male","Sabaragamuwa Province","1.5004","IS & MF","O/Levels or Below","Yes","1-3 years","Yes","C","No","Yes","Very good","Very good","Good","Average","No","Yes","None","Average","S","S","No","","No","Weak","Fair","Satisfactory","Satisfactory","Weak",""
"2022/12/02 8:24:49 PM GMT+5:30","Male","Southern Province","0.5","IS & MF","Degree","Yes","more than 3 years","Yes","A","Yes","Yes","Very good","Very good","Very good","Very good","Yes","Yes","Python;Java;JavaScript","Very good","A","C","No","","No","Average","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/02 8:36:07 PM GMT+5:30","Female","Western Province","1.5191","IS & MF","Diploma","Yes","more than 3 years","No","","No","No","Good","Good","Good","Average","No","Yes","Python","Weak","A","A","No","","No","Good","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/02 9:23:15 PM GMT+5:30","Male","Western Province","1.4477","IS & MF","A/Levels","Yes","more than 3 years","Yes","A","Yes","Yes","Good","Good","Good","Very good","No","Yes","Python;Java;Html","Average","C","S","No","","Yes","Very good","Fair","Satisfactory","Very good","Average","Want to do physical and practical face to face sessions for improve speaking skills"
"2022/12/02 9:26:12 PM GMT+5:30","Female","Western Province","1.8197","MB","Degree","Yes","Less than one year","No","","No","No","Good","Average","Good","Weak","No","No","None","Very weak","A","A","No","","No","Average","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/02 9:40:15 PM GMT+5:30","Female","Western Province","1.5105 ","Bio","A/Levels","Yes","Less than one year","No","","No","Yes","Good","Good","Good","Average","No","No","None","Very weak","A","A","Yes","A","No","Weak","Very good","Satisfactory","Satisfactory","Good",""
"2022/12/02 9:45:18 PM GMT+5:30","Male","Western Province","1.3171","Bio","Degree","Yes","more than 3 years","No","","Yes","Yes","Very good","Very good","Very good","Very good","Yes","Yes","Python","Average","A","B","No","","Yes","Average","Fair","Poor","Satisfactory","Good",""
